id,term_in_arabic,new_term_in_arabic,term_in_arabic_normalized,definition_in_english,part_of_speech,is_from_french,is_vulgar,french,example_sentence_in_arabic,example_sentence_in_arabic_normalized,example_sentence_in_english
1,أبد,أَبَدْ,أبد,"forever, eternal",N,False,False,,قال ماعادش جاي إلى الأبد وماعادش باش تشوفوني,قال ماعادش جاي إلى الأبد وماعادش باش تشوفوني,"He said he's never ever coming and ""you'll never see me again."""
3,أخْ,,أخ,brother,N,False,False,,عرفنا بالأخ إلي معاك,عرفنا بالأخ إلي معاك,Introduce us to the brother with you.
5,إددّشْ,,إددش,"to walk like a baby, learn to walk, toddle",V,False,False,,بنتنا مزالت كي بدات إددّش,بنتنا مزالت كي بدات إددش,Our daughter just started to toddle.
6,إدَوِّرْ الخْوَاطِرْ,,إدور الخواطر,"to cause to faint or pass out, make dizzy",V,False,False,,ريحة الشياط إدوّر الخواطر,ريحة الشياط إدور الخواطر,The smell of burning makes you faint.
8,إسبوار,إِسْبْوَارْ,إسبوار,hope,N,True,False,espoir,عندي إسبوار إلّي ممكن ياسر ننجح في الامتحان,عندي إسبوار إلي ممكن ياسر ننجح في الامتحان,I have hope that it's very possible I'll pass the test.
9,إسْپَارُونْسْ,,إسپارونس,"Esperance, a Tunis soccer team (aka ""Taraji"")",N,False,False,,اليوم لاسبيرونس تلعب في المنزه,اليوم لاسبيرونس تلعب في المنزه,Esperance is playing in Menzah today.
10,إسْپَاسْ,إسْپَاسْ,إسپاس,cash,N,True,False,Espace,خلصني إسْپَاسْ,خلصني إسپاس,Pay me in cash.
11,إسْپَاص فَارَغْ,,إسپاص فارغ,"empty space, free spot",N,False,False,,إلوج على إسباص فارغ بش يحط فيه السلعة,إلوج على إسباص فارغ بش يحط فيه السلعة,He looked for an empty place to put his goods.
12,إسْپْرِي,,إسپري,"spirit, personality, mind",N,False,False,,عندو إسبري أوفار,عندو إسبري أوفار,He has an open mind.
13,إسْتِعْلَامْ,,إستعلام,"inquiry, investigation",N,False,False,,وقع الإستعلام عليه,وقع الإستعلام عليه,They investigated him.
14,إسْتِعْلَامَاتْ,,إستعلامات,"information, criminal intelligence",N,False,False,,الإستعلامات تقوم بعمل كبير في مكافحة الإرهاب,الإستعلامات تقوم بعمل كبير في مكافحة الإرهاب,Intelligence information plays an important role in fighting terrorism.
15,إستغلّ,إِسْتَغَلّْ,إستغل,"to take advantage of, benefit from, use",V,False,False,,إستغلو الفضلات و رسكلوها,إستغلو الفضلات و رسكلوها,They used the garbage and recycled it.
17,إشَنْعُوهَا,,إشنعوها,"to cause trouble, problems",V,False,False,,اشنعوها و عملو فوضة,اشنعوها و عملو فوضة,They caused trouble and made chaos.
18,إشِيخْ,,إشيخ,"to have a lot of fun, enjoy",V,False,False,,إشيخ مل الكعبة الثانية,إشيخ مل الكعبة الثانية,He was having a good time from the second one.
19,إصْطَادْ بِالكَرْكَارَة,,إصطاد بالكركارة,to fish with a net,V,False,False,,هبط يصطاد بالكركارة,هبط يصطاد بالكركارة,He went down and fished with a net.
21,أكَاديمِي,,أكاديمي,academic,ADJ,False,False,,قدم المحاظرة أستاذ أكاديمي معروف,قدم المحاظرة أستاذ أكاديمي معروف,A well-known academic professor gave the lecture.
22,آلَارٍمْ,آلَارِمْ,آلارم,alarm,N,True,False,alarme,الآلارم تكلنشات,الآلارم تكلنشات,The alarm went off.
24,أمْپَارْمِيَابْلْ,أمْپَارْمِيَابْلْ,أمپارميابل,"impermaeable, water-proof, water-proof jacket",N,True,False,Imperméable,إلبس أمبرميابل ع الشتاء,إلبس أمبرميابل ع الشتاء,Wear a water-proof jacket in the winter.
26,أوپْسْيُونْ,أوپْسْيُونْ,أوپسيون,"option, extra, choice",N,True,False,option,الكرهبة توت أوبسيون,الكرهبة توت أوبسيون,The car has all the options.
32,بِتِيَّة,,بتية,barrel,N,False,False,,حطيت بطيّة تحت الميزاب بش يصب فيها الماء,حطيت بطية تحت الميزاب بش يصب فيها الماء,I put a barrel under the gutter to collect water in it.
33,بج,بُجْ,بج,a new soldier in the army,N,False,False,,مازال بجّ ما ستصينش,مازال بج ما ستصينش,He's still a new soldier in the army.
34,بَرَّاكَة,,براكة,"shed, lean-to, guard stand",N,False,False,,عمل براكة في البحر,عمل براكة في البحر,They set up a shed on the beach.
35,بَرْدْعَة,,بردعة,pack (for donkey),N,False,False,,ركّب البردعة للبهيم,ركب البردعة للبهيم,He layed the pack on the donkey.
36,بَرْشَة,,برشة,"a lot, much, many, very",ADV,False,False,,محلاها مزيانة برشا,محلاها مزيانة برشا,"Wow, she's really beautiful."
37,بُرْقْعَة,,برقعة,"shamelessly, heartlessly",ADJ,False,False,,قالهالو برقعة,قالهالو برقعة,He told him heartlessly.
38,بَزَّعْ حَاجَة,,بزع حاجة,to spill something,V,False,False,,رد بالك لا تبزّع حاجة على حوايجك,رد بالك لا تبزع حاجة على حوايجك,Be careful not to spill something on your clothes.
40,بَطَّانِيَّة,,بطانية,"blanket, wrap",N,False,False,,تغطّى ببطانية,تغطى ببطانية,He covered up with a blanket.
41,بَطِّلْ,,بطل,"hero, main character, champion",N,False,False,,بطل الفيلم خذا أوسكار,بطل الفيلم خذا أوسكار,The star of the film won an Oscar.
42,بكم,بْكِمْ,بكم,to be or become mute,V,False,False,,بكم مرة وحدا ماعاش يتكلم,بكم مرة وحدا ماعاش يتكلم,He went mute all at once and doesn’t talk anymore.
43,بُلّارْ,,بلار,glass,N,False,False,,البلار متاع الشباك تكسّر,البلار متاع الشباك تكسر,The window's glass broke.
45,بْمُخُو,,بمخو,"wise, wisely",ADJ,False,False,,متخافش عليه بمخو,متخافش عليه بمخو,Don't worry about him; he's wise.
46,بْهَاوَة,,بهاوة,"beauty, loveliness",N,False,False,,تعجبني سيدي بوسعيد على بهاوتها و رطابتها,تعجبني سيدي بوسعيد على بهاوتها و رطابتها,I like how beautiful and lovely Sidi Bou Said is.
47,بْوَاطْ,بْوَاطْ,بواط,"can (pop, etc.)",N,True,False,Boîte de nuit,نجيبلك كوكا بواط و إلاّ بلاّر؟,نجيبلك كوكا بواط و إلا بلار ، ,Should I bring you a can of coke or a bottle?
47,بْوَاطْ,بْوَاطْ,بواط,night club,N,True,False,Boîte de nuit,مشيت لبواط دو نوي لبارح؟,مشيت لبواط دو نوي لبارح ، ,Did you go to a night club yesterday?
48,بُوعَزْرَة,,بوعزرة,traditional calendar period,N,False,False,,اليوم دخلنا في بوعزرة,اليوم دخلنا في بوعزرة,We're in the Bou Azra weather period now.
49,بُونُو,,بونو,"receipt, ticket",N,False,False,,قص بونو و إستنى,قص بونو و إستنى,Buy a ticket and wait.
